filename,tom,jerry,class,split
frame0.jpg,0,0,neither,train
frame1.jpg,0,0,neither,train
frame2.jpg,0,0,neither,train
frame3.jpg,0,0,neither,train
frame4.jpg,0,0,neither,train
frame5.jpg,0,0,neither,train
frame6.jpg,0,0,neither,train
frame7.jpg,0,0,neither,train
frame8.jpg,0,0,neither,train
frame9.jpg,0,0,neither,train
frame10.jpg,0,0,neither,train
frame11.jpg,0,0,neither,train
frame12.jpg,0,1,jerry,train
frame13.jpg,0,0,neither,train
frame14.jpg,1,0,tom,train
frame15.jpg,1,0,tom,train
frame16.jpg,0,0,neither,train
frame17.jpg,0,1,jerry,train
frame18.jpg,1,1,both,train
frame19.jpg,0,1,jerry,train
frame20.jpg,0,0,neither,train
frame21.jpg,0,0,neither,train
frame22.jpg,0,0,neither,train
frame23.jpg,0,0,neither,train
frame24.jpg,0,0,neither,train
frame25.jpg,0,0,neither,train
frame26.jpg,0,0,neither,train
frame27.jpg,0,0,neither,train
frame28.jpg,0,0,neither,train
frame29.jpg,0,1,jerry,train
frame30.jpg,0,1,jerry,train
frame31.jpg,1,0,tom,train
frame32.jpg,0,0,neither,train
frame33.jpg,1,0,tom,train
frame34.jpg,1,0,tom,train
frame35.jpg,1,0,tom,train
frame36.jpg,1,0,tom,train
frame37.jpg,0,0,neither,train
frame38.jpg,0,0,neither,train
frame39.jpg,0,0,neither,train
frame40.jpg,0,0,neither,train
frame41.jpg,0,0,neither,train
frame42.jpg,1,0,tom,train
frame43.jpg,1,0,tom,train
frame44.jpg,0,0,neither,train
frame45.jpg,0,0,neither,train
frame46.jpg,1,0,tom,train
frame47.jpg,0,0,neither,train
frame48.jpg,1,0,tom,train
frame49.jpg,1,0,tom,train
frame50.jpg,1,0,tom,train
frame51.jpg,0,0,neither,train
frame52.jpg,0,0,neither,train
frame53.jpg,0,0,neither,train
frame54.jpg,1,0,tom,train
frame55.jpg,1,0,tom,train
frame56.jpg,1,0,tom,train
frame57.jpg,0,0,neither,train
frame58.jpg,0,0,neither,train
frame59.jpg,0,0,neither,train
frame60.jpg,0,0,neither,train
frame61.jpg,0,0,neither,train
frame62.jpg,0,0,neither,train
frame63.jpg,0,0,neither,train
frame64.jpg,0,0,neither,train
frame65.jpg,0,0,neither,train
frame66.jpg,0,0,neither,train
frame67.jpg,0,0,neither,train
frame68.jpg,0,0,neither,train
frame69.jpg,0,0,neither,train
frame70.jpg,0,0,neither,train
frame71.jpg,0,0,neither,train
frame72.jpg,0,0,neither,train
