epoha,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.5402185612627257,0.7869507323568575,0.5029705697417681,0.8276269185360094,0.8182668641575273
2,0.10427448471757607,0.970439414114514,0.47569287991439296,0.8087367178276269,0.7946317997021579
3,0.06376204525583118,0.9832223701731025,0.5291318568316373,0.8087367178276269,0.7892590727337977
4,0.032726100462175084,0.9933422103861518,0.5016215161421504,0.8382526564344747,0.8249491043520653
5,0.01828390376049574,0.9954727030625832,0.5362357972222771,0.8370720188902007,0.8258753884565168
6,0.01968863476886254,0.9957390146471371,0.5722707441030455,0.8134592680047226,0.8047660232244581
7,0.013623778620107316,0.9962716378162451,0.5745004050284096,0.8429752066115702,0.8314497213179053
8,0.031218300530123963,0.9922769640479361,0.7728046349116734,0.7591499409681228,0.7477850721887309
9,0.0359195388188851,0.9893475366178429,0.582935377234129,0.8240850059031877,0.8137924534364365
10,0.04951368587887716,0.9845539280958722,0.6106599912733508,0.8276269185360094,0.8225732173769107
